TransactionID,Date,Category,Subcategory,Type,Amount,Budget,Description,
TXN0002,1/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0003,1/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0005,1/1/2024,Utilities,Water,variable,-194.16,-60,Water purchase,
TXN0007,1/2/2024,Utilities,Water,variable,-122.98,-60,Water purchase,
TXN0012,1/3/2024,Groceries,Online Grocery,variable,-59,-53.33,Online Grocery purchase,
TXN0017,1/3/2024,Transport,Fuel,variable,-53.49,-30,Train purchase,
TXN0004,1/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0006,1/5/2024,Utilities,Electricity,variable,-193.65,-60,Gas purchase,
TXN0032,1/5/2024,Shopping,Amazon,variable,-82.74,-66.67,Electronics purchase,
TXN0009,1/8/2024,Groceries,Online Grocery,variable,-62.46,-53.33,Supermarket purchase,
TXN0022,1/8/2024,Dining Out,Coffee Shop,variable,-19.03,-33.33,Coffee Shop purchase,
TXN0011,1/9/2024,Groceries,Online Grocery,variable,-47.77,-53.33,Supermarket purchase,
TXN0018,1/9/2024,Transport,Uber,variable,-35.4,-30,Bus Pass purchase,
TXN0026,1/9/2024,Entertainment,Concert,variable,-12.32,-33.33,Cinema purchase,
TXN0028,1/9/2024,Health,Doctor Visit,variable,-21.28,-40,Doctor Visit purchase,
TXN0024,1/11/2024,Dining Out,Restaurant,variable,-48.24,-33.33,Restaurant purchase,
TXN0019,1/12/2024,Dining Out,Takeaway,variable,-27.28,-33.33,Coffee Shop purchase,
TXN0008,1/17/2024,Groceries,Supermarket,variable,-70.1,-53.33,Online Grocery purchase,
TXN0031,1/17/2024,Shopping,Clothes,variable,-69.35,-66.67,Clothes purchase,
TXN0014,1/18/2024,Transport,Train,variable,-20.62,-30,Fuel purchase,
TXN0015,1/18/2024,Transport,Uber,variable,-28.19,-30,Bus Pass purchase,
TXN0029,1/18/2024,Health,Doctor Visit,variable,-26.82,-40,Pharmacy purchase,
TXN0030,1/19/2024,Shopping,Clothes,variable,-59.94,-66.67,Clothes purchase,
TXN0013,1/20/2024,Groceries,Supermarket,variable,-53.23,-53.33,Online Grocery purchase,
TXN0021,1/20/2024,Dining Out,Takeaway,variable,-39.3,-33.33,Takeaway purchase,
TXN0023,1/21/2024,Dining Out,Restaurant,variable,-41.59,-33.33,Takeaway purchase,
TXN0027,1/21/2024,Entertainment,Gaming,variable,-27.47,-33.33,Cinema purchase,
TXN0016,1/23/2024,Transport,Bus Pass,variable,-18.13,-30,Uber purchase,
TXN0020,1/23/2024,Dining Out,Takeaway,variable,-52.28,-33.33,Restaurant purchase,
TXN0010,1/25/2024,Groceries,Online Grocery,variable,-80.29,-53.33,Online Grocery purchase,
TXN0025,1/27/2024,Entertainment,Concert,variable,-11.12,-33.33,Gaming purchase,
TXN0001,1/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0035,2/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0036,2/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0041,2/1/2024,Groceries,Online Grocery,variable,-87.69,-53.33,Supermarket purchase,
TXN0046,2/2/2024,Groceries,Supermarket,variable,-52.04,-53.33,Supermarket purchase,
TXN0056,2/2/2024,Dining Out,Restaurant,variable,-48.96,-33.33,Takeaway purchase,
TXN0063,2/2/2024,Shopping,Electronics,variable,-60.26,-66.67,Clothes purchase,
TXN0053,2/3/2024,Dining Out,Takeaway,variable,-26.54,-33.33,Takeaway purchase,
TXN0040,2/4/2024,Utilities,Water,variable,-149.35,-60,Gas purchase,
TXN0060,2/4/2024,Entertainment,Gaming,variable,-13.39,-33.33,Concert purchase,
TXN0037,2/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0043,2/5/2024,Groceries,Supermarket,variable,-58.7,-53.33,Supermarket purchase,
TXN0048,2/5/2024,Transport,Bus Pass,variable,-44.69,-30,Uber purchase,
TXN0065,2/5/2024,Shopping,Electronics,variable,-62.19,-66.67,Electronics purchase,
TXN0054,2/8/2024,Dining Out,Restaurant,variable,-37.3,-33.33,Restaurant purchase,
TXN0057,2/8/2024,Dining Out,Coffee Shop,variable,-23.97,-33.33,Restaurant purchase,
TXN0064,2/8/2024,Shopping,Amazon,variable,-39.16,-66.67,Electronics purchase,
TXN0045,2/12/2024,Groceries,Online Grocery,variable,-83.94,-53.33,Supermarket purchase,
TXN0051,2/13/2024,Transport,Uber,variable,-59.78,-30,Train purchase,
TXN0061,2/14/2024,Health,Doctor Visit,variable,-33.5,-40,Gym purchase,
TXN0042,2/17/2024,Groceries,Online Grocery,variable,-85.63,-53.33,Supermarket purchase,
TXN0049,2/17/2024,Transport,Train,variable,-54.26,-30,Bus Pass purchase,
TXN0052,2/17/2024,Dining Out,Restaurant,variable,-31.41,-33.33,Restaurant purchase,
TXN0050,2/18/2024,Transport,Bus Pass,variable,-48.99,-30,Uber purchase,
TXN0058,2/18/2024,Entertainment,Gaming,variable,-14.63,-33.33,Cinema purchase,
TXN0034,2/19/2024,Income,Freelance,income,331.76,0,Freelance project payment,
TXN0038,2/20/2024,Utilities,Internet,variable,-219.61,-60,Electricity purchase,
TXN0044,2/20/2024,Groceries,Supermarket,variable,-56.21,-53.33,Supermarket purchase,
TXN0039,2/22/2024,Utilities,Internet,variable,-192.07,-60,Internet purchase,
TXN0062,2/22/2024,Health,Doctor Visit,variable,-44.41,-40,Gym purchase,
TXN0055,2/23/2024,Dining Out,Restaurant,variable,-39.14,-33.33,Restaurant purchase,
TXN0047,2/24/2024,Transport,Fuel,variable,-36.87,-30,Bus Pass purchase,
