TransactionID,Date,Category,Subcategory,Type,Amount,Budget,Description,Month,Year
TXN0002,2024-01-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,1,2024
TXN0003,2024-01-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,1,2024
TXN0005,2024-01-01,Utilities,Water,variable,-194.16,-60.0,Water purchase,1,2024
TXN0007,2024-01-02,Utilities,Water,variable,-122.98,-60.0,Water purchase,1,2024
TXN0012,2024-01-03,Groceries,Online Grocery,variable,-59.0,-53.33,Online Grocery purchase,1,2024
TXN0017,2024-01-03,Transport,Fuel,variable,-53.49,-30.0,Train purchase,1,2024
TXN0004,2024-01-05,Investments,Stocks ISA,fixed,-300.0,-300.0,Monthly investment contribution,1,2024
TXN0006,2024-01-05,Utilities,Electricity,variable,-193.65,-60.0,Gas purchase,1,2024
TXN0032,2024-01-05,Shopping,Amazon,variable,-82.74,-66.67,Electronics purchase,1,2024
TXN0009,2024-01-08,Groceries,Online Grocery,variable,-62.46,-53.33,Supermarket purchase,1,2024
TXN0022,2024-01-08,Dining Out,Coffee Shop,variable,-19.03,-33.33,Coffee Shop purchase,1,2024
TXN0011,2024-01-09,Groceries,Online Grocery,variable,-47.77,-53.33,Supermarket purchase,1,2024
TXN0018,2024-01-09,Transport,Uber,variable,-35.4,-30.0,Bus Pass purchase,1,2024
TXN0026,2024-01-09,Entertainment,Concert,variable,-12.32,-33.33,Cinema purchase,1,2024
TXN0028,2024-01-09,Health,Doctor Visit,variable,-21.28,-40.0,Doctor Visit purchase,1,2024
TXN0024,2024-01-11,Dining Out,Restaurant,variable,-48.24,-33.33,Restaurant purchase,1,2024
TXN0019,2024-01-12,Dining Out,Takeaway,variable,-27.28,-33.33,Coffee Shop purchase,1,2024
TXN0008,2024-01-17,Groceries,Supermarket,variable,-70.1,-53.33,Online Grocery purchase,1,2024
TXN0031,2024-01-17,Shopping,Clothes,variable,-69.35,-66.67,Clothes purchase,1,2024
TXN0014,2024-01-18,Transport,Train,variable,-20.62,-30.0,Fuel purchase,1,2024
TXN0015,2024-01-18,Transport,Uber,variable,-28.19,-30.0,Bus Pass purchase,1,2024
TXN0029,2024-01-18,Health,Doctor Visit,variable,-26.82,-40.0,Pharmacy purchase,1,2024
TXN0030,2024-01-19,Shopping,Clothes,variable,-59.94,-66.67,Clothes purchase,1,2024
TXN0013,2024-01-20,Groceries,Supermarket,variable,-53.23,-53.33,Online Grocery purchase,1,2024
TXN0021,2024-01-20,Dining Out,Takeaway,variable,-39.3,-33.33,Takeaway purchase,1,2024
TXN0023,2024-01-21,Dining Out,Restaurant,variable,-41.59,-33.33,Takeaway purchase,1,2024
TXN0027,2024-01-21,Entertainment,Gaming,variable,-27.47,-33.33,Cinema purchase,1,2024
TXN0016,2024-01-23,Transport,Bus Pass,variable,-18.13,-30.0,Uber purchase,1,2024
TXN0020,2024-01-23,Dining Out,Takeaway,variable,-52.28,-33.33,Restaurant purchase,1,2024
TXN0010,2024-01-25,Groceries,Online Grocery,variable,-80.29,-53.33,Online Grocery purchase,1,2024
TXN0025,2024-01-27,Entertainment,Concert,variable,-11.12,-33.33,Gaming purchase,1,2024
TXN0001,2024-01-28,Income,Salary,income,3800.0,3800.0,Monthly salary,1,2024
TXN0035,2024-02-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,2,2024
TXN0036,2024-02-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,2,2024
TXN0041,2024-02-01,Groceries,Online Grocery,variable,-87.69,-53.33,Supermarket purchase,2,2024
TXN0046,2024-02-02,Groceries,Supermarket,variable,-52.04,-53.33,Supermarket purchase,2,2024
TXN0056,2024-02-02,Dining Out,Restaurant,variable,-48.96,-33.33,Takeaway purchase,2,2024
TXN0063,2024-02-02,Shopping,Electronics,variable,-60.26,-66.67,Clothes purchase,2,2024
TXN0053,2024-02-03,Dining Out,Takeaway,variable,-26.54,-33.33,Takeaway purchase,2,2024
TXN0040,2024-02-04,Utilities,Water,variable,-149.35,-60.0,Gas purchase,2,2024
TXN0060,2024-02-04,Entertainment,Gaming,variable,-13.39,-33.33,Concert purchase,2,2024
TXN0037,2024-02-05,Investments,ETF,fixed,-300.0,-300.0,Monthly investment contribution,2,2024
TXN0043,2024-02-05,Groceries,Supermarket,variable,-58.7,-53.33,Supermarket purchase,2,2024
TXN0048,2024-02-05,Transport,Bus Pass,variable,-44.69,-30.0,Uber purchase,2,2024
TXN0065,2024-02-05,Shopping,Electronics,variable,-62.19,-66.67,Electronics purchase,2,2024
TXN0054,2024-02-08,Dining Out,Restaurant,variable,-37.3,-33.33,Restaurant purchase,2,2024
TXN0057,2024-02-08,Dining Out,Coffee Shop,variable,-23.97,-33.33,Restaurant purchase,2,2024
TXN0064,2024-02-08,Shopping,Amazon,variable,-39.16,-66.67,Electronics purchase,2,2024
TXN0045,2024-02-12,Groceries,Online Grocery,variable,-83.94,-53.33,Supermarket purchase,2,2024
TXN0051,2024-02-13,Transport,Uber,variable,-59.78,-30.0,Train purchase,2,2024
TXN0061,2024-02-14,Health,Doctor Visit,variable,-33.5,-40.0,Gym purchase,2,2024
TXN0042,2024-02-17,Groceries,Online Grocery,variable,-85.63,-53.33,Supermarket purchase,2,2024
TXN0049,2024-02-17,Transport,Train,variable,-54.26,-30.0,Bus Pass purchase,2,2024
TXN0052,2024-02-17,Dining Out,Restaurant,variable,-31.41,-33.33,Restaurant purchase,2,2024
TXN0050,2024-02-18,Transport,Bus Pass,variable,-48.99,-30.0,Uber purchase,2,2024
TXN0058,2024-02-18,Entertainment,Gaming,variable,-14.63,-33.33,Cinema purchase,2,2024
TXN0034,2024-02-19,Income,Freelance,income,331.76,0.0,Freelance project payment,2,2024
TXN0038,2024-02-20,Utilities,Internet,variable,-219.61,-60.0,Electricity purchase,2,2024
TXN0044,2024-02-20,Groceries,Supermarket,variable,-56.21,-53.33,Supermarket purchase,2,2024
TXN0039,2024-02-22,Utilities,Internet,variable,-192.07,-60.0,Internet purchase,2,2024
TXN0062,2024-02-22,Health,Doctor Visit,variable,-44.41,-40.0,Gym purchase,2,2024
TXN0055,2024-02-23,Dining Out,Restaurant,variable,-39.14,-33.33,Restaurant purchase,2,2024
TXN0047,2024-02-24,Transport,Fuel,variable,-36.87,-30.0,Bus Pass purchase,2,2024
TXN0059,2024-02-26,Entertainment,Gaming,variable,-26.55,-33.33,Cinema purchase,2,2024
TXN0033,2024-02-28,Income,Salary,income,3800.0,3800.0,Monthly salary,2,2024
TXN0068,2024-03-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,3,2024
TXN0069,2024-03-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,3,2024
TXN0072,2024-03-02,Utilities,Electricity,variable,-185.21,-60.0,Electricity purchase,3,2024
TXN0089,2024-03-03,Dining Out,Takeaway,variable,-35.12,-33.33,Coffee Shop purchase,3,2024
TXN0083,2024-03-04,Transport,Bus Pass,variable,-57.37,-30.0,Fuel purchase,3,2024
TXN0094,2024-03-04,Health,Doctor Visit,variable,-55.04,-40.0,Doctor Visit purchase,3,2024
TXN0070,2024-03-05,Investments,Stocks ISA,fixed,-300.0,-300.0,Monthly investment contribution,3,2024
TXN0090,2024-03-05,Dining Out,Restaurant,variable,-52.13,-33.33,Restaurant purchase,3,2024
TXN0095,2024-03-05,Health,Doctor Visit,variable,-27.26,-40.0,Gym purchase,3,2024
TXN0075,2024-03-06,Groceries,Online Grocery,variable,-58.95,-53.33,Online Grocery purchase,3,2024
TXN0078,2024-03-07,Groceries,Supermarket,variable,-54.84,-53.33,Supermarket purchase,3,2024
TXN0085,2024-03-07,Dining Out,Coffee Shop,variable,-40.8,-33.33,Restaurant purchase,3,2024
TXN0086,2024-03-09,Dining Out,Takeaway,variable,-29.02,-33.33,Takeaway purchase,3,2024
TXN0087,2024-03-10,Dining Out,Restaurant,variable,-31.66,-33.33,Restaurant purchase,3,2024
TXN0091,2024-03-12,Entertainment,Gaming,variable,-19.97,-33.33,Concert purchase,3,2024
TXN0067,2024-03-15,Income,Bonus,income,1200.0,0.0,Quarterly bonus,3,2024
TXN0088,2024-03-15,Dining Out,Takeaway,variable,-38.71,-33.33,Restaurant purchase,3,2024
TXN0074,2024-03-16,Groceries,Online Grocery,variable,-64.07,-53.33,Supermarket purchase,3,2024
TXN0080,2024-03-17,Transport,Bus Pass,variable,-56.37,-30.0,Fuel purchase,3,2024
TXN0081,2024-03-17,Transport,Bus Pass,variable,-18.61,-30.0,Fuel purchase,3,2024
TXN0082,2024-03-20,Transport,Bus Pass,variable,-18.06,-30.0,Train purchase,3,2024
TXN0084,2024-03-20,Transport,Uber,variable,-18.69,-30.0,Uber purchase,3,2024
TXN0092,2024-03-20,Entertainment,Netflix,variable,-44.43,-33.33,Concert purchase,3,2024
TXN0093,2024-03-22,Entertainment,Cinema,variable,-13.63,-33.33,Concert purchase,3,2024
TXN0077,2024-03-23,Groceries,Online Grocery,variable,-87.87,-53.33,Supermarket purchase,3,2024
TXN0096,2024-03-23,Shopping,Amazon,variable,-54.29,-66.67,Amazon purchase,3,2024
TXN0079,2024-03-24,Groceries,Supermarket,variable,-55.68,-53.33,Online Grocery purchase,3,2024
TXN0073,2024-03-25,Utilities,Water,variable,-204.87,-60.0,Gas purchase,3,2024
TXN0076,2024-03-26,Groceries,Online Grocery,variable,-79.26,-53.33,Online Grocery purchase,3,2024
TXN0066,2024-03-28,Income,Salary,income,3800.0,3800.0,Monthly salary,3,2024
TXN0071,2024-03-28,Utilities,Gas,variable,-212.33,-60.0,Electricity purchase,3,2024
TXN0097,2024-03-28,Shopping,Electronics,variable,-46.4,-66.67,Electronics purchase,3,2024
TXN0098,2024-03-28,Shopping,Amazon,variable,-25.08,-66.67,Electronics purchase,3,2024
TXN0101,2024-04-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,4,2024
TXN0102,2024-04-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,4,2024
TXN0112,2024-04-01,Groceries,Online Grocery,variable,-48.97,-53.33,Online Grocery purchase,4,2024
TXN0118,2024-04-01,Dining Out,Coffee Shop,variable,-40.38,-33.33,Coffee Shop purchase,4,2024
TXN0126,2024-04-01,Entertainment,Cinema,variable,-28.2,-33.33,Concert purchase,4,2024
TXN0106,2024-04-04,Utilities,Water,variable,-127.52,-60.0,Electricity purchase,4,2024
TXN0123,2024-04-04,Dining Out,Coffee Shop,variable,-37.65,-33.33,Takeaway purchase,4,2024
TXN0103,2024-04-05,Investments,ETF,fixed,-300.0,-300.0,Monthly investment contribution,4,2024
TXN0108,2024-04-05,Groceries,Online Grocery,variable,-42.09,-53.33,Supermarket purchase,4,2024
TXN0131,2024-04-05,Shopping,Amazon,variable,-39.18,-66.67,Electronics purchase,4,2024
TXN0114,2024-04-06,Transport,Fuel,variable,-50.43,-30.0,Train purchase,4,2024
TXN0122,2024-04-06,Dining Out,Coffee Shop,variable,-36.97,-33.33,Restaurant purchase,4,2024
TXN0116,2024-04-07,Transport,Train,variable,-51.75,-30.0,Uber purchase,4,2024
TXN0111,2024-04-08,Groceries,Supermarket,variable,-83.23,-53.33,Online Grocery purchase,4,2024
TXN0119,2024-04-09,Dining Out,Coffee Shop,variable,-49.17,-33.33,Coffee Shop purchase,4,2024
TXN0117,2024-04-10,Transport,Bus Pass,variable,-51.92,-30.0,Bus Pass purchase,4,2024
TXN0129,2024-04-10,Shopping,Amazon,variable,-70.71,-66.67,Electronics purchase,4,2024
TXN0121,2024-04-11,Dining Out,Restaurant,variable,-52.39,-33.33,Coffee Shop purchase,4,2024
TXN0130,2024-04-11,Shopping,Electronics,variable,-60.24,-66.67,Amazon purchase,4,2024
TXN0109,2024-04-12,Groceries,Supermarket,variable,-50.5,-53.33,Supermarket purchase,4,2024
TXN0110,2024-04-12,Groceries,Online Grocery,variable,-79.01,-53.33,Supermarket purchase,4,2024
TXN0100,2024-04-14,Income,Freelance,income,322.04,0.0,Freelance project payment,4,2024
TXN0127,2024-04-14,Health,Doctor Visit,variable,-18.15,-40.0,Pharmacy purchase,4,2024
TXN0125,2024-04-19,Entertainment,Netflix,variable,-16.65,-33.33,Gaming purchase,4,2024
TXN0128,2024-04-20,Health,Gym,variable,-29.13,-40.0,Doctor Visit purchase,4,2024
TXN0120,2024-04-21,Dining Out,Takeaway,variable,-33.9,-33.33,Takeaway purchase,4,2024
TXN0105,2024-04-24,Utilities,Gas,variable,-164.18,-60.0,Electricity purchase,4,2024
TXN0104,2024-04-25,Utilities,Internet,variable,-133.08,-60.0,Water purchase,4,2024
TXN0113,2024-04-26,Transport,Bus Pass,variable,-45.15,-30.0,Uber purchase,4,2024
TXN0124,2024-04-26,Entertainment,Netflix,variable,-20.98,-33.33,Gaming purchase,4,2024
TXN0107,2024-04-27,Groceries,Supermarket,variable,-58.46,-53.33,Online Grocery purchase,4,2024
TXN0099,2024-04-28,Income,Salary,income,3800.0,3800.0,Monthly salary,4,2024
TXN0115,2024-04-28,Transport,Train,variable,-16.74,-30.0,Bus Pass purchase,4,2024
TXN0133,2024-05-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,5,2024
TXN0134,2024-05-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,5,2024
TXN0143,2024-05-02,Groceries,Online Grocery,variable,-52.24,-53.33,Supermarket purchase,5,2024
TXN0135,2024-05-05,Investments,Stocks ISA,fixed,-300.0,-300.0,Monthly investment contribution,5,2024
TXN0149,2024-05-05,Transport,Uber,variable,-51.06,-30.0,Train purchase,5,2024
TXN0142,2024-05-08,Groceries,Supermarket,variable,-80.33,-53.33,Supermarket purchase,5,2024
TXN0147,2024-05-08,Transport,Train,variable,-22.91,-30.0,Fuel purchase,5,2024
TXN0155,2024-05-08,Dining Out,Restaurant,variable,-23.81,-33.33,Takeaway purchase,5,2024
TXN0137,2024-05-10,Utilities,Gas,variable,-148.69,-60.0,Internet purchase,5,2024
TXN0140,2024-05-10,Groceries,Online Grocery,variable,-65.77,-53.33,Supermarket purchase,5,2024
TXN0156,2024-05-10,Entertainment,Concert,variable,-18.21,-33.33,Concert purchase,5,2024
TXN0158,2024-05-13,Entertainment,Cinema,variable,-34.29,-33.33,Netflix purchase,5,2024
TXN0159,2024-05-14,Health,Doctor Visit,variable,-33.34,-40.0,Pharmacy purchase,5,2024
TXN0160,2024-05-14,Health,Pharmacy,variable,-17.8,-40.0,Pharmacy purchase,5,2024
TXN0138,2024-05-15,Utilities,Water,variable,-164.18,-60.0,Gas purchase,5,2024
TXN0144,2024-05-15,Groceries,Supermarket,variable,-60.72,-53.33,Online Grocery purchase,5,2024
TXN0145,2024-05-16,Transport,Bus Pass,variable,-32.98,-30.0,Fuel purchase,5,2024
TXN0163,2024-05-16,Shopping,Electronics,variable,-20.59,-66.67,Electronics purchase,5,2024
TXN0148,2024-05-18,Transport,Fuel,variable,-26.21,-30.0,Train purchase,5,2024
TXN0157,2024-05-18,Entertainment,Cinema,variable,-12.82,-33.33,Cinema purchase,5,2024
TXN0136,2024-05-20,Utilities,Gas,variable,-176.91,-60.0,Electricity purchase,5,2024
TXN0150,2024-05-20,Dining Out,Takeaway,variable,-47.05,-33.33,Coffee Shop purchase,5,2024
TXN0152,2024-05-24,Dining Out,Coffee Shop,variable,-49.04,-33.33,Coffee Shop purchase,5,2024
TXN0146,2024-05-25,Transport,Fuel,variable,-53.72,-30.0,Train purchase,5,2024
TXN0153,2024-05-25,Dining Out,Takeaway,variable,-22.63,-33.33,Coffee Shop purchase,5,2024
TXN0154,2024-05-25,Dining Out,Coffee Shop,variable,-45.44,-33.33,Takeaway purchase,5,2024
TXN0161,2024-05-25,Shopping,Amazon,variable,-78.41,-66.67,Clothes purchase,5,2024
TXN0139,2024-05-26,Groceries,Supermarket,variable,-85.06,-53.33,Supermarket purchase,5,2024
TXN0141,2024-05-27,Groceries,Supermarket,variable,-87.6,-53.33,Online Grocery purchase,5,2024
TXN0151,2024-05-27,Dining Out,Coffee Shop,variable,-50.99,-33.33,Restaurant purchase,5,2024
TXN0132,2024-05-28,Income,Salary,income,3800.0,3800.0,Monthly salary,5,2024
TXN0162,2024-05-28,Shopping,Amazon,variable,-108.07,-66.67,Electronics purchase,5,2024
TXN0166,2024-06-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,6,2024
TXN0167,2024-06-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,6,2024
TXN0175,2024-06-02,Groceries,Online Grocery,variable,-53.01,-53.33,Supermarket purchase,6,2024
TXN0185,2024-06-04,Dining Out,Restaurant,variable,-45.45,-33.33,Coffee Shop purchase,6,2024
TXN0186,2024-06-04,Dining Out,Coffee Shop,variable,-36.88,-33.33,Takeaway purchase,6,2024
TXN0168,2024-06-05,Investments,ETF,fixed,-300.0,-300.0,Monthly investment contribution,6,2024
TXN0182,2024-06-05,Transport,Fuel,variable,-36.31,-30.0,Bus Pass purchase,6,2024
TXN0195,2024-06-05,Shopping,Amazon,variable,-63.55,-66.67,Amazon purchase,6,2024
TXN0170,2024-06-08,Utilities,Gas,variable,-147.29,-60.0,Electricity purchase,6,2024
TXN0179,2024-06-12,Transport,Fuel,variable,-25.09,-30.0,Fuel purchase,6,2024
TXN0191,2024-06-12,Entertainment,Concert,variable,-28.65,-33.33,Netflix purchase,6,2024
TXN0171,2024-06-13,Utilities,Gas,variable,-153.61,-60.0,Water purchase,6,2024
TXN0173,2024-06-13,Groceries,Supermarket,variable,-69.59,-53.33,Supermarket purchase,6,2024
TXN0176,2024-06-15,Groceries,Online Grocery,variable,-56.34,-53.33,Online Grocery purchase,6,2024
TXN0183,2024-06-15,Dining Out,Coffee Shop,variable,-42.08,-33.33,Restaurant purchase,6,2024
TXN0165,2024-06-16,Income,Freelance,income,726.72,0.0,Freelance project payment,6,2024
TXN0192,2024-06-17,Health,Gym,variable,-44.14,-40.0,Pharmacy purchase,6,2024
TXN0169,2024-06-18,Utilities,Water,variable,-194.75,-60.0,Gas purchase,6,2024
TXN0184,2024-06-20,Dining Out,Takeaway,variable,-38.11,-33.33,Takeaway purchase,6,2024
TXN0174,2024-06-21,Groceries,Online Grocery,variable,-61.43,-53.33,Supermarket purchase,6,2024
TXN0194,2024-06-21,Shopping,Electronics,variable,-109.16,-66.67,Amazon purchase,6,2024
TXN0196,2024-06-21,Shopping,Amazon,variable,-47.01,-66.67,Electronics purchase,6,2024
TXN0187,2024-06-22,Dining Out,Coffee Shop,variable,-51.05,-33.33,Coffee Shop purchase,6,2024
TXN0188,2024-06-23,Dining Out,Takeaway,variable,-20.53,-33.33,Takeaway purchase,6,2024
TXN0177,2024-06-25,Groceries,Online Grocery,variable,-87.56,-53.33,Online Grocery purchase,6,2024
TXN0180,2024-06-25,Transport,Bus Pass,variable,-16.4,-30.0,Bus Pass purchase,6,2024
TXN0172,2024-06-27,Groceries,Supermarket,variable,-63.37,-53.33,Supermarket purchase,6,2024
TXN0178,2024-06-27,Transport,Fuel,variable,-18.69,-30.0,Fuel purchase,6,2024
TXN0181,2024-06-27,Transport,Bus Pass,variable,-15.92,-30.0,Bus Pass purchase,6,2024
TXN0189,2024-06-27,Entertainment,Netflix,variable,-31.95,-33.33,Concert purchase,6,2024
TXN0193,2024-06-27,Health,Pharmacy,variable,-37.06,-40.0,Pharmacy purchase,6,2024
TXN0164,2024-06-28,Income,Salary,income,3800.0,3800.0,Monthly salary,6,2024
TXN0190,2024-06-28,Entertainment,Netflix,variable,-33.95,-33.33,Netflix purchase,6,2024
TXN0198,2024-07-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,7,2024
TXN0199,2024-07-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,7,2024
